             wavelength    intg_flux     intg_err   gauss_flux    gauss_err       eqw     eqw_err  ion                       latexLabel               blended_label           w1           w2           w3           w4           w5           w6 peak_wave    peak_flux         cont     std_cont       m_cont       n_cont  snr_line snr_cont    z_line          amp   center    sigma      amp_err center_err  sigma_err      v_r   v_r_err sigma_vel sigma_vel_err observation comments
H1_4341A       4341.000  4.21533e-15  5.70148e-18  4.13078e-15  2.97084e-17   89.4393    0.186829   H1                    $4341\AA\,HI$                        None  4305.946250  4321.723104  4325.036599  4352.719089  4375.041305  4386.812579   5188.37  5.74482e-16  4.70846e-17  6.73616e-19  -2.0317e-20  1.52497e-16  0.959157  44.7278  0.195202  5.34469e-16  5188.91  3.08333  3.44719e-18  0.0226468  0.0236514  58557.1     1.564   212.937       1.63338         NaN     None
O3_4363A       4363.000  1.25144e-15  9.49552e-18  1.21293e-15  1.48796e-17   27.1169  0.00177631   O3                $4363\AA\,[OIII]$                        None  4297.703962  4323.659256  4352.719089  4373.480957  4390.758206  4416.201706   5215.26  1.93417e-16  4.61526e-17  1.27528e-18 -2.51293e-20  1.77208e-16   1.76632  24.4736  0.195337  1.52752e-16  5216.04  3.16781  1.71473e-18  0.0405802  0.0420437  58614.3   2.78837   217.668       2.88892         NaN     None
He1_4471A      4471.000  3.94688e-16  5.09878e-18  3.81388e-16   6.0755e-18   9.10339   0.0871658  He1                   $4471\AA\,HeI$                        None  4443.574417  4457.222271  4461.718894  4487.671229  4490.314332  4506.691758   5345.55  8.94143e-17  4.34425e-17   5.8699e-19 -2.09872e-20   1.5563e-16   3.60524  51.2901  0.195604  4.53709e-17  5345.61  3.35352  6.37542e-19  0.0536303  0.0563144  58644.8   3.59605   224.862       3.77603         NaN     None
Fe3_4658A      4658.000  1.04248e-16  4.74054e-18  9.53209e-17  6.63205e-18   2.66534     0.10699  Fe3               $4658\AA\,[FeIII]$                        None  4601.289840  4619.373247  4646.845547  4664.147103  4759.961411  4780.823131    5568.9  5.03064e-17   3.9012e-17  6.86229e-19 -1.94122e-20  1.47116e-16   12.3458  19.2524  0.195555  1.05371e-17  5568.28  3.60892   6.4329e-19   0.247953   0.265231  58586.2   15.9585   232.273       17.0705         NaN     None
He2_4686A      4686.000  2.44434e-16  5.44946e-18   2.1813e-16  7.24602e-18   6.36094     0.11274  He2                  $4686\AA\,HeII$                        None  4603.525152  4629.114879  4674.528037  4697.020061  4753.225056  4776.255810   5601.99   6.0977e-17  3.84192e-17   7.1655e-19 -1.89545e-20  1.44602e-16   6.45802  20.9329  0.195473  2.16797e-17  5601.79  4.01396  6.42874e-19   0.135268   0.141709    58589   8.65395   256.798       9.06602         NaN     None
Ar4_4711A_m    4711.000  2.04993e-16   5.1123e-18  2.06222e-16  5.50166e-18   5.41237   0.0996721  Ar4   $4711\AA\,[ArIV]+4713\AA\,HeI$         Ar4_4711A-He1_4713A  4605.000000  4635.000000  4705.670839  4722.972395  4755.000000  4778.000000   5633.01  6.14108e-17  3.79208e-17  7.95814e-19 -2.00561e-20  1.50897e-16   5.90196  20.1511  0.195714  2.29592e-17  5633.12  3.58333  5.50359e-19  0.0972451   0.103782  58680.8   6.18836   228.031       6.60434         NaN     None
Ar4_4740A      4740.000   1.3289e-16  6.13072e-18  1.30198e-16  6.08468e-18   3.57384    0.141322  Ar4                $4740\AA\,[ArIV]$                        None  4605.869456  4635.297642  4729.893018  4750.654885  4757.086453  4776.095965    5666.1  5.24427e-17  3.72008e-17  8.24816e-19 -2.04538e-20  1.53094e-16   8.16398  19.9787  0.195379  1.47953e-17  5666.73  3.51067  5.91078e-19   0.158099   0.169033  58613.3   9.99937   222.041       10.6909         NaN     None
H1_4861A       4861.000  9.34915e-15  1.05451e-17  9.08105e-15   5.6656e-17   259.808     1.30835   H1                    $4861\AA\,HI$                        None  4809.800000  4836.100000  4840.622978  4878.686402  4883.131725  4908.404627   5812.93  1.08165e-15  3.60157e-17  1.03339e-18  7.44995e-21 -7.29034e-18  0.711946  33.1672   0.19583  1.06843e-15  5811.88  3.39077   6.1759e-18  0.0224195  0.0230939  58643.8   1.38268   209.119       1.42427         NaN     None
He1_4922A      4922.000  5.93348e-17  5.21419e-18  6.70891e-17  6.98615e-18   1.65191    0.133612  He1                   $4922\AA\,HeI$                        None  4889.812581  4898.659315  4913.289515  4930.591071  4929.338025  4939.707958   5883.24  4.51397e-17  3.58886e-17    8.252e-19  5.28675e-21  4.78538e-18   10.2876   42.926  0.195296  9.59158e-18  5884.31  2.79043  8.32525e-19    0.27308   0.294531  58612.9    16.633   169.962       17.9395         NaN     None
O3_4959A       4959.000  2.00668e-14  2.73861e-17  1.96374e-14  1.38286e-16   497.271     7.10056   O3                $4959\AA\,[OIII]$                        None  4925.249870  4940.450556  4940.972005  4977.305273  4976.717902  4990.274812   5928.74  2.26134e-15  4.03366e-17   2.9818e-18  1.21527e-19 -6.80165e-16   0.71085  8.31828  0.195552  2.21265e-15  5928.53  3.54064  1.38593e-17  0.0252737  0.0264397  58612.4    1.5279   214.047       1.59839         NaN     None
O3_5007A       5007.000  5.76197e-14  3.14539e-17  5.61612e-14  3.23061e-16   1457.27     14.7838   O3                $5007\AA\,[OIII]$                        None  4972.789405  4987.024161  4977.305273  5036.130565  5031.597272  5043.984899   5986.65  6.00018e-15  3.94483e-17   2.5202e-18 -7.39879e-20  4.82388e-16  0.498296   10.935  0.195656   6.0665e-15  5985.75  3.69325  3.11702e-17  0.0216331  0.0225953  58602.5   1.29528   221.132       1.35289         NaN     None
He1_5048A      5048.000  2.01309e-17  3.81795e-18  2.16551e-17  5.38196e-18  0.574441    0.105737  He1                   $5048\AA\,HeI$                        None  5027.571920  5035.126982  5036.130565  5051.701965  5060.814194  5072.902293   6025.94   3.7646e-17  3.54702e-17   5.9659e-19 -1.13077e-19  7.16868e-16   29.8166  13.7373  0.193728  2.49114e-18  6028.95  3.46794  4.67609e-19   0.722618   0.816551  58256.9   42.9151   205.955       48.4936         NaN     None
He1_5876A      5876.000  1.26118e-15  3.88848e-18  1.23145e-15  8.74896e-18   51.6801   0.0748745  He1                   $5876\AA\,HeI$                        None  5833.000295  5851.095888  5863.144958  5890.827448  5893.715052  5904.974532   7024.82  1.35231e-16  2.44168e-17  4.51167e-19 -6.35957e-21  6.90916e-17   1.56612   48.964  0.195511  1.10449e-16  7024.05    4.448  6.64516e-19  0.0302807  0.0323539  58573.1   1.54492   226.936       1.65069         NaN     None
O1_6300A_b     6300.304          NaN          NaN          NaN          NaN       NaN         NaN  NaN                  $6300\AA\,[OI]$                        None  6267.641902  6282.944264  6290.231103  6319.378461  6322.766051  6334.646996       NaN          NaN          NaN          NaN          NaN          NaN       NaN      NaN       NaN          NaN      NaN      NaN          NaN        NaN        NaN      NaN       NaN       NaN           NaN    detected      NaN
H1_6563A_b     6562.819          NaN          NaN          NaN          NaN       NaN         NaN  NaN                    $6563\AA\,HI$                        None  6438.031887  6508.659534  6535.100850  6600.953542  6627.699148  6661.818784       NaN          NaN          NaN          NaN          NaN          NaN       NaN      NaN       NaN          NaN      NaN      NaN          NaN        NaN        NaN      NaN       NaN       NaN           NaN    detected      NaN
He1_6678A      6678.000  3.55893e-16  4.69256e-18  3.48991e-16  6.55076e-18   18.3932    0.107748  He1                   $6678\AA\,HeI$                        None  6629.202615  6656.485897  6663.219431  6688.536172  6691.349143  6701.194543   7984.41  4.46747e-17  1.93579e-17  5.73033e-19  4.84418e-21 -1.93199e-17   3.42369   32.513  0.195628  2.55742e-17  7983.38  5.44405  3.68402e-19  0.0875005  0.0980381    58602   3.92812   244.397       4.40118         NaN     None
S2_6716A_b     6716.440          NaN          NaN          NaN          NaN       NaN         NaN  NaN                 $6716\AA\,[SII]$                        None  6686.701750  6698.868365  6700.904392  6743.914757  6750.597271  6772.141384       NaN          NaN          NaN          NaN          NaN          NaN       NaN      NaN       NaN          NaN      NaN      NaN          NaN        NaN        NaN      NaN       NaN       NaN           NaN    detected      NaN
He1_7065A      7065.000   6.2356e-16  3.95092e-18  6.21809e-16  7.13913e-18   34.3113  0.00802797  He1                   $7065\AA\,HeI$                        None  7029.097448  7041.636414  7055.222189  7079.444368  7087.485843  7104.448177   8445.59  6.04695e-17  1.81756e-17  4.79171e-19  -2.4497e-21  3.88648e-17   2.53201   37.264  0.195412  4.24929e-17  8446.22  5.83782  3.98013e-19  0.0610376  0.0663221  58609.8   2.59004   247.719       2.81428         NaN     None
Ar3_7136A      7136.000   4.9001e-16  4.67984e-18  4.99125e-16  5.65753e-18   26.2344   0.0916466  Ar3               $7136\AA\,[ArIII]$                        None  7091.543624  7111.040559  7115.777636  7148.650593  7154.480174  7174.988512   8530.38  5.23916e-17  1.87633e-17  4.97606e-19  1.66426e-20 -1.23204e-16   2.53128  22.8663    0.1954  3.34187e-17  8530.29   5.9584  3.21033e-19  0.0646235  0.0689371  58575.8   2.71492    250.32       2.89614         NaN     None
He1_7281A      7281.000  5.67408e-17  1.02171e-17  6.87048e-17  1.01356e-17   2.76825    0.466767  He1                   $7281\AA\,HeI$                        None  7241.851790  7255.883193  7266.301176  7299.174133  7298.756922  7308.890712   8706.16  2.48663e-17  2.04783e-17  1.12138e-18  1.11386e-20 -7.64964e-17   12.1976  17.2266  0.195737  4.41311e-18  8705.45  6.21087  4.92239e-19    0.77666     0.8702  58651.1   31.9787    255.73       35.8302         NaN     None
O2_7319A_m     7319.000  4.84306e-16  9.75007e-18  5.08177e-16  1.90522e-17   24.0146    0.267559   O2  $7319\AA\,[OII]+7330\AA\,[OII]$           O2_7319A-O2_7330A  7288.714870  7299.174133  7304.258044  7345.895878  7349.348647  7365.310000   8757.86  3.93155e-17   2.0143e-17  9.28362e-19 -2.24379e-20  2.16651e-16   4.19617  15.7666  0.196593  1.98618e-17  8756.59  10.2072  5.18853e-19   0.299167   0.341448  58884.7   12.2541   418.096        13.986         NaN     None
Ar3_7751A      7751.000  1.13165e-16  3.42601e-18  1.21226e-16   6.0294e-18   6.69186    0.148042  Ar3               $7751\AA\,[ArIII]$                        None  7707.432219  7727.611546  7742.093976  7762.855843  7765.728054  7776.378255   9264.54  2.47374e-17  1.68856e-17   4.8045e-19  6.82234e-21 -4.63203e-17   8.54282  31.8966  0.195271  8.02085e-18  9266.11  6.02957  3.04811e-19   0.252399   0.293871  58601.2   9.76228   233.211       11.3663         NaN     None
O1_6300A       6300.000  3.99884e-16  3.45059e-18  2.93777e-16  4.63428e-18   13.9965    0.220792   O1                  $6300\AA\,[OI]$           O1_6300A-S3_6312A  6267.641902  6282.944264  6290.231103  6319.378461  6322.766051  6334.646996    7531.5  4.49674e-17  2.09893e-17  4.00509e-19 -3.58658e-21  4.80016e-17   4.49789  50.3537  0.195476  2.40381e-17  7532.13  4.87559   2.3346e-19  0.0781567  0.0811552  58632.1   3.71917    232.01       3.86186         NaN     None
S3_6312A       6312.000  3.99884e-16  3.45059e-18  1.09101e-16  4.51379e-18   5.19792    0.215052   S3                $6312\AA\,[SIII]$           O1_6300A-S3_6312A  6267.641902  6282.944264  6290.231103  6319.378461  6322.766051  6334.646996    7531.5  4.49674e-17  2.09893e-17  4.00509e-19 -3.58658e-21  4.80016e-17   4.49789  50.3537  0.195476  1.02159e-17  7546.18   4.2605  2.50637e-19   0.171384   0.175079  58617.9   8.13999   202.355       8.31547         NaN     None
H1_6563A       6563.000  3.12859e-14  8.28008e-18  2.91643e-14  1.15094e-16   1464.05     5.77773   H1                    $6563\AA\,HI$  H1_6563A-N2_6584A-N2_6548A  6438.031887  6508.659534  6535.100850  6600.953542  6627.699148  6661.818784   7845.85  2.33923e-15  1.99202e-17  6.50832e-19 -6.02102e-21  6.71603e-17   0.60447  22.8925  0.195466  2.35141e-15  7845.78  4.94803  8.35983e-18  0.0203939  0.0218747  58596.3  0.931575   226.022      0.999221         NaN     None
N2_6584A       6584.000  3.12859e-14  8.28008e-18  1.44377e-15  1.38563e-16   72.4776      6.9559   N2                 $6584\AA\,[NII]$  H1_6563A-N2_6584A-N2_6548A  6438.031887  6508.659534  6535.100850  6600.953542  6627.699148  6661.818784   7845.85  2.33923e-15  1.99202e-17  6.50832e-19 -6.02102e-21  6.71603e-17   0.60447  22.8925  0.195466  8.69359e-17  7869.44  6.62536  7.04719e-18   0.604156   0.680944  58530.5   27.5093   301.676       31.0058         NaN     None
N2_6548A       6548.000  3.12859e-14  8.28008e-18  4.88394e-16  5.52787e-17   24.5175       2.775   N2                 $6548\AA\,[NII]$  H1_6563A-N2_6584A-N2_6548A  6438.031887  6508.659534  6535.100850  6600.953542  6627.699148  6661.818784   7845.85  2.33923e-15  1.99202e-17  6.50832e-19 -6.02102e-21  6.71603e-17   0.60447  22.8925  0.195466    2.957e-17  7826.41  6.58913    2.397e-18   0.600853   0.677221  58530.5   27.5093   301.676       31.0058         NaN     None
S2_6716A       6716.000  1.12103e-15  6.53024e-18  5.78884e-16  9.78383e-18   29.9379    0.505987   S2                 $6716\AA\,[SII]$           S2_6716A-S2_6731A  6686.701750  6698.868365  6700.904392  6743.914757  6750.597271  6772.141384   8046.45  6.24323e-17  1.93361e-17  6.42212e-19 -1.68162e-20  1.54647e-16   2.68294  20.8119  0.198101  4.26869e-17  8029.14  5.41012  6.99444e-19  0.0888187  0.0685421  58616.8   3.96474     241.5       3.05962         NaN     None
S2_6731A       6731.000  1.12103e-15  6.53024e-18  5.57559e-16  9.31633e-18   28.8351    0.481809   S2                 $6731\AA\,[SII]$           S2_6716A-S2_6731A  6686.701750  6698.868365  6700.904392  6743.914757  6750.597271  6772.141384   8046.45  6.24323e-17  1.93361e-17  6.42212e-19 -1.68162e-20  1.54647e-16   2.68294  20.8119  0.198101  4.10228e-17  8047.08  5.42221  6.85455e-19  0.0890171  0.0686952  58616.8   3.96474     241.5       3.05962         NaN     None
