                      w1           w2           w3           w4           w5           w6
H1_19450A    19415.00000  19435.00000  19445.00000  19455.00000  19465.00000  19485.00000
H2_19576A    19415.00000  19435.00000  19565.00000  19585.00000  19595.00000  19610.00000
Si6_19620A   19595.00000  19610.00000  19615.00000  19625.00000  19635.00000  19655.00000
He1_20590A   20540.00000  20560.00000  20575.00000  20605.00000  20615.00000  20635.00000
H2_21210A    21150.00000  21170.00000  21180.00000  21240.00000  21250.00000  21270.00000
H1_21661A    21620.00000  21640.00000  21645.00000  21676.00000  21685.00000  21705.00000
H2_24070A    24000.00000  24020.00000  24040.00000  24100.00000  24120.00000  24150.00000
Si6_24830A   24790.00000  24800.00000  24820.00000  24840.00000  24840.00000  24860.00000
H1_26259A    26200.00000  26220.00000  26245.00000  26275.00000  26300.00000  26320.00000
H1_30392A    30365.00000  30375.00000  30385.00000  30405.00000  30415.00000  30425.00000
H1_32970A    32945.00000  32955.00000  32965.00000  32975.00000  32985.00000  32995.00000
PAH1_33000A  32800.00000  32850.00000  32900.00000  33100.00000  33150.00000  33200.00000
H1_37406A    37365.00000  37385.00000  37395.00000  37415.00000  37425.00000  37440.00000
H1_40522A    40490.00000  40500.00000  40510.00000  40535.00000  40550.00000  40570.00000
H1_46539A    46510.00000  46515.00000  46534.00000  46546.00000  46555.00000  46575.00000
S4_105100A   104700.0000  104900.0000  105000.0000  105200.0000  105300.0000  105500.0000
S3_187100A   186700.0000  186900.0000  187000.0000  187200.0000  187100.0000  187300.0000



